"Story","Title","Result","Date","Stability","Duration (s)"
"Site Search","Search - Inactive","SUCCESS","2018-11-08T20:07:55.125+05:30[Asia/Calcutta]","0.0","13.52"
"Site Search","Search - Open","SUCCESS","2018-11-08T20:08:11.983+05:30[Asia/Calcutta]","0.0","13.86"
"Site Search","Search - Active","SUCCESS","2018-11-08T20:08:29.433+05:30[Asia/Calcutta]","0.0","15.83"
"Site Search","Search - Close","FAILURE","2018-11-08T20:08:48.731+05:30[Asia/Calcutta]","0.0","27.63"
"Site Search","Search with a keyword","SUCCESS","2018-11-08T20:09:20.168+05:30[Asia/Calcutta]","0.0","16.13"
"Site Search","Search - Inactive","SUCCESS","2018-11-08T20:18:59.362+05:30[Asia/Calcutta]","0.0","17.82"
"Site Search","Search - Open","SUCCESS","2018-11-08T20:19:17.468+05:30[Asia/Calcutta]","0.0","18.83"
"Site Search","Search - Active","SUCCESS","2018-11-08T20:19:36.579+05:30[Asia/Calcutta]","0.0","20.82"
"Site Search","Search - Close","SUCCESS","2018-11-08T20:19:57.656+05:30[Asia/Calcutta]","0.0","31.57"
"Site Search","Search with a keyword","SUCCESS","2018-11-08T20:20:29.56+05:30[Asia/Calcutta]","0.0","25.05"
