"Story","Title","Result","Date","Stability","Duration (s)"
"Account","Accounts - logged out state","SUCCESS","2018-11-07T22:38:57.448+05:30[Asia/Calcutta]","0.0","20.59"
"Account","Accounts - logged in state","SUCCESS","2018-11-07T22:39:21.445+05:30[Asia/Calcutta]","0.0","46.53"
"Account","Accounts - Oracle Account links verify","SUCCESS","2018-11-07T22:40:11.266+05:30[Asia/Calcutta]","0.0","44.66"
"Account","Accounts - Cloud Sign In links verify","FAILURE","2018-11-07T22:40:59.374+05:30[Asia/Calcutta]","0.0","97.31"
"Contact","Contact","SUCCESS","2018-11-07T22:42:40.551+05:30[Asia/Calcutta]","0.0","52.94"
"Country list","Show regions and its countries","SUCCESS","2018-11-07T22:43:36.832+05:30[Asia/Calcutta]","0.0","83.42"
"Menu","Menu","SUCCESS","2018-11-07T22:45:03.837+05:30[Asia/Calcutta]","0.0","32.18"
"Menu","Navigate tositepage","SUCCESS","2018-11-07T22:45:45.934+05:30[Asia/Calcutta]","0.0","80.73"
"Menu","Hover over menu","SUCCESS","2018-11-07T22:47:10.185+05:30[Asia/Calcutta]","0.0","55.96"
"Searchautosuggest","Suggest search keywords","SUCCESS","2018-11-07T22:48:09.844+05:30[Asia/Calcutta]","0.0","67.29"
"Searchautosuggest","Autosuggest retracts","FAILURE","2018-11-07T22:49:20.557+05:30[Asia/Calcutta]","0.0","50.54"
"Searchautosuggest","Autosuggest reappears as user types keyword","FAILURE","2018-11-07T22:50:14.923+05:30[Asia/Calcutta]","0.0","46.46"
"Searchautosuggest","Select from auto suggestedkeywords","SUCCESS","2018-11-07T22:51:04.702+05:30[Asia/Calcutta]","0.0","114.53"
"Site Search","Search - Inactive","SUCCESS","2018-11-07T22:53:03.119+05:30[Asia/Calcutta]","0.0","29.93"
"Site Search","Search - Active","SUCCESS","2018-11-07T22:54:41.474+05:30[Asia/Calcutta]","0.0","34.18"
"Site Search","Search - Close","SUCCESS","2018-11-07T22:55:21.78+05:30[Asia/Calcutta]","0.0","48.14"
"Site Search","Search with a keyword","SUCCESS","2018-11-07T22:56:13.621+05:30[Asia/Calcutta]","0.0","45.34"
